orfname,Gene Symbol,Description,log2_rep1,log2_rep2,log2_rep3,log2_rep4,log2_rep5,log2_rep6,# peptides,Avg log2 ratio,SD,p1,p2,# SILAC peptides,log2_SILAC ratio
YJR152W,DAL5,Allantoin permease; ureidosuccinate permease; expression is constitutive but sensitive to nitrogen catabolite repression,3.32,3.16,2.80,3.89,3.69,4.04,3,3.48,0.473,0.001,0.000,,
YCL064C,CHA1,"Catabolic L-serine (L-threonine) deaminase, catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine",2.87,2.56,2.84,4.55,3.34,3.75,21,3.32,0.734,0.000,0.000,10,2.90
YNL142W,MEP2,Ammonium permease involved in regulation of pseudohyphal growth; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation,3.42,2.75,2.70,2.86,3.47,2.51,17,2.95,0.398,0.000,0.000,2,1.79
YLR142W,PUT1,"Proline oxidase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source",2.21,3.09,2.44,2.02,3.02,2.24,14,2.50,0.450,0.000,0.000,9,2.65
YDR242W,AMD2,Putative amidase,2.25,1.73,1.33,3.11,1.49,3.13,2,2.17,0.796,0.000,0.000,2,3.02
YAL062W,GDH3,"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources",1.90,1.63,1.96,1.75,1.56,2.33,6,1.86,0.276,0.000,0.000,12,1.93
YKR093W,PTR2,"Integral membrane peptide transporter, mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p",1.69,2.08,1.76,1.00,1.30,1.73,5,1.60,0.383,0.000,0.000,3,1.06
YCR005C,CIT2,"Citrate synthase, catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate, peroxisomal isozyme involved in glyoxylate cycle; expression is controlled by Rtg1p and Rtg2p transcription factors",1.50,1.50,1.66,1.68,1.60,1.61,34,1.59,0.075,0.000,0.000,13,1.61
YBR208C,"DUR1,2","Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation",1.39,1.40,1.41,1.69,1.65,1.39,62,1.49,0.142,0.000,0.000,70,1.81
YNL117W,MLS1,"Malate synthase, enzyme of the glyoxylate cycle, involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth in oleic acid medium",2.29,2.01,2.33,0.61,0.74,0.65,2,1.44,0.855,0.004,0.000,4,2.15
YJL172W,CPS1,Vacuolar carboxypeptidase yscS; expression is induced under low-nitrogen conditions,1.39,1.47,1.44,1.40,1.27,1.39,46,1.39,0.070,0.000,0.000,19,1.38
YPR002W,PDH1,"Mitochondrial protein that participates in respiration, induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate",1.35,1.16,0.76,1.61,1.10,1.62,8,1.26,0.332,0.006,0.000,10,1.33
YJR148W,BAT2,"Cytosolic branched-chain amino acid aminotransferase, homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase",1.04,0.80,1.11,1.49,1.25,1.15,11,1.14,0.229,0.000,0.000,11,1.28
YPR035W,GLN1,"Glutamine synthetase (GS), synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation",1.21,0.85,1.27,1.00,1.27,0.81,32,1.07,0.212,0.008,0.000,17,0.89
YMR170C,ALD2,"Cytoplasmic aldehyde dehydrogenase, involved in ethanol oxidation and beta-alanine biosynthesis; uses NAD+ as the preferred coenzyme; expression is stress induced and glucose repressed; very similar to Ald3p",1.01,1.21,1.11,1.19,0.88,0.93,69,1.05,0.138,0.000,0.000,64,1.02
YKR039W,GAP1,General amino acid permease; localization to the plasma membrane is regulated by nitrogen source,1.11,0.38,1.19,1.03,1.27,0.88,22,0.98,0.322,0.016,0.000,7,0.92
YLL019C,KNS1,"Nonessential putative protein kinase of unknown cellular role; member of the LAMMER family of protein kinases, which are serine/threonine kinases also capable of phosphorylating tyrosine residues",0.26,0.93,0.46,1.55,1.82,0.73,4,0.96,0.614,0.032,0.000,,
YEL060C,PRB1,"Vacuolar proteinase B (yscB), a serine protease of the subtilisin family; involved in protein degradation in the vacuole and required for full protein degradation during sporulation",0.91,0.48,0.77,0.70,1.10,0.94,28,0.82,0.216,0.000,0.000,9,0.65
YEL071W,DLD3,"D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm",0.77,1.16,0.57,0.73,0.77,0.86,49,0.81,0.196,0.006,0.000,21,0.77
YBL015W,ACH1,"Acetyl-coA hydrolase, primarily localized to mitochondria; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth",0.69,0.92,0.83,0.65,0.77,1.01,9,0.81,0.135,0.004,0.000,9,0.94
YAL061W,BDH2,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3; BDH2 is an essential gene,0.84,0.58,0.92,0.67,0.81,0.58,7,0.74,0.145,0.000,0.000,2,0.96
YCL025C,AGP1,"Low-affinity amino acid permease with broad substrate range, involved in uptake of asparagine, glutamine, and other amino acids; expression is regulated by the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)",0.46,1.13,0.84,0.43,0.86,0.35,3,0.68,0.310,0.002,0.001,,
YFL030W,AGX1,"Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; has similarity to mammalian and plant alanine:glyoxylate aminotransferases",1.07,0.78,0.77,0.43,0.41,0.51,2,0.66,0.256,0.036,0.002,4,0.27
YIR032C,DAL3,"Ureidoglycolate hydrolase, converts ureidoglycolate to glyoxylate and urea in the third step of allantoin degradation; expression sensitive to nitrogen catabolite repression",0.77,0.74,1.20,0.33,0.49,0.40,4,0.66,0.320,0.006,0.002,2,1.12
YNL015W,PBI2,"Cytosolic inhibitor of vacuolar proteinase B, required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion",0.76,0.27,0.71,0.51,0.92,0.65,35,0.64,0.225,0.000,0.000,3,0.65
